Designator,Mid X,Mid Y,Rotation,Layer
C1,188.35,-103.65,270.0,top
C10,148.3275,-48.14,0.0,top
C11,148.3275,-54.06,0.0,top
C12,177.215,-47.0925,270.0,top
C13,181.03,-47.0925,270.0,top
C14,148.3275,-58.8,0.0,top
C15,148.3275,-54.98,0.0,top
C16,162.144999,-56.38,180.0,bottom
C17,168.66,-57.6,135.0,bottom
C18,169.372499,-49.21,270.0,bottom
C19,161.672499,-46.7925,90.0,top
C2,188.348665,-90.587499,90.0,top
C20,158.37,-46.5475,270.0,top
C21,159.9125,-47.62,180.0,top
C22,159.9125,-46.7,180.0,top
C23,161.24,-53.97,180.0,bottom
C24,161.24,-54.89,180.0,bottom
C25,167.93,-57.03,135.0,bottom
C26,167.93,-55.73,135.0,bottom
C27,162.194999,-47.59,0.0,bottom
C28,162.197499,-48.51,0.0,bottom
C29,178.062501,-91.27,180.0,top
C3,151.7875,-43.19,0.0,top
C30,158.5825,-49.52,180.0,top
C31,158.5825,-48.6,180.0,top
C32,159.54,-68.4975,270.0,top
C34,157.552552,-51.451522,180.0,top
C35,159.11,-52.7225,270.0,top
C4,155.8875,-45.26,0.0,top
C5,160.46,-68.4975,270.0,top
C6,181.03,-49.2725,90.0,top
C7,154.308717,-54.301283,315.0,bottom
D1,150.45,-104.21,0.0,top
D10,187.705001,-69.1,180.0,top
D11,187.705001,-78.14,180.0,top
D12,187.705001,-58.78,180.0,top
D16,187.705001,-70.7,180.0,top
D17,187.705001,-79.74,180.0,top
D2,150.45,-102.61,0.0,top
D22,187.705001,-73.62,180.0,top
D23,187.704999,-82.66,180.0,top
D25,187.705001,-75.22,180.0,top
D26,187.705001,-84.26,180.0,top
D3,164.71,-32.620003,270.0,top
D4,166.31,-32.620003,270.0,top
D5,167.91,-32.620001,270.0,top
D6,169.51,-32.620001,270.0,top
D7,187.704999,-60.38,180.0,top
D8,187.705001,-61.98,180.0,top
D9,187.705001,-63.58,180.0,top
FB1,178.865001,-49.64,180.0,top
J1,143.91,-57.55,270.0,top
J10,149.3,-92.96,0.0,top
J11,162.7,-72.71,0.0,top
J12,171.1,-72.71,0.0,top
J13,162.7,-79.46,0.0,top
J14,171.1,-79.46,0.0,top
J15,162.7,-86.205,0.0,top
J16,171.1,-86.21,0.0,top
J17,162.7,-92.965,0.0,top
J18,171.1,-92.96,0.0,top
J19,183.1,-43.43,90.0,top
J2,143.91,-44.15,270.0,top
J20,144.0,-101.0,0.0,top
J21,144.0,-109.0,0.0,top
J22,153.28,-64.524999,180.0,top
J3,175.38,-113.31,270.0,top
J4,168.63,-113.310002,270.0,top
J5,161.880001,-113.31,270.0,top
J6,155.13,-113.31,270.0,top
J7,149.3,-72.71,0.0,top
J8,149.3,-79.46,0.0,top
J9,149.3,-86.21,0.0,top
JP1,149.46,-116.97,180.0,top
JP2,143.05,-66.02,90.0,top
R1,146.83,-65.9025,90.0,top
R10,164.71,-35.917502,90.0,top
R11,166.31,-35.917502,90.0,top
R12,167.91,-35.919571,90.0,top
R13,169.51,-35.9175,90.0,top
R14,153.7475,-104.21,180.0,top
R15,184.4025,-60.38,0.0,top
R16,184.402502,-61.98,0.0,top
R17,184.407502,-63.58,0.0,top
R18,150.5275,-54.07,0.0,top
R19,179.16,-91.1075,90.0,bottom
R2,185.16,-105.21,180.0,top
R20,171.77,-32.8775,90.0,top
R21,151.1175,-68.104999,180.0,top
R22,155.4425,-68.104999,0.0,top
R23,184.402502,-58.78,0.0,top
R24,171.0175,-64.96,180.0,top
R25,171.77,-36.1725,270.0,top
R3,155.3425,-38.25,180.0,top
R4,149.46,-112.2675,90.0,top
R43,187.7075,-67.64,180.0,top
R44,187.7075,-76.68,180.0,top
R46,184.4075,-69.1,180.0,top
R47,184.4075,-78.14,180.0,top
R51,184.4025,-67.64,180.0,top
R52,184.4025,-76.68,180.0,top
R54,184.4075,-70.7,180.0,top
R55,184.4075,-79.74,180.0,top
R59,187.7075,-72.16,180.0,top
R60,187.7075,-81.2,180.0,top
R62,184.4075,-73.62,180.0,top
R63,184.4075,-82.66,180.0,top
R65,184.4025,-72.16,180.0,top
R66,184.4025,-81.2,180.0,top
R67,184.4075,-75.22,180.0,top
R68,184.4075,-84.26,180.0,top
R77,180.2725,-50.84,180.0,top
R78,180.2725,-53.84,180.0,top
R8,153.7475,-102.61,180.0,top
R9,180.46,-103.950957,90.0,bottom
SW1,150.319999,-32.19,180.0,top
SW2,155.94,-32.19,180.0,top
SW4,177.45,-34.52,270.0,top
U1,185.16,-98.0,180.0,top
U10,148.41,-56.8875,270.0,top
U11,179.1225,-47.175,180.0,top
U18,187.225,-52.59,90.0,top
U2,152.67,-45.395,90.0,top
U3,165.25,-66.025,180.0,top
U4,165.462499,-52.48,90.0,top
U6,179.825,-97.998457,0.0,bottom
U7,149.61,-51.1,0.0,top
U8,178.4,-98.0,270.0,top
Y1,156.495,-49.060001,90.0,top
Y2,157.705001,-53.055,90.0,top
